FRT_FID	TEQ_NUMMER
157	6100100101
158	6100100069
159	6100100056
160	6100100019
161	6100100075
162	6100100093
163	6100100017
164	6100100023
165	6100100007
166	6100100064
167	6100100011
168	6100100097
169	6100100052
170	6100100087
171	6100100058
172	6100100071
173	6100100060
174	6100100025
175	6100100077
176	6100100091
177	6100100089
178	6100100046
179	6100100021
180	6100100099
181	6100100085
182	6100100054
183	6100100037
184	6100100073
185	6100100027
186	6100100041
187	6100100009
188	6100100029
189	6100100031
190	6100100092
191	6100100096
192	6100100100
193	6100100032
194	2100100075
195	2100100035
196	2100100041
197	2100100049
198	2100100059
199	2100100096
200	2100100083
201	2100100098
202	2100100015
203	2100100067
204	2100100017
205	2100100039
206	2100100061
207	2100100037
208	2100100071
209	2100100031
210	2100100079
211	2100100116
212	2100100057
213	2100100094
214	2100100120
215	2100100023
216	2100100051
217	2100100043
218	2100100055
219	2100100063
220	2100100021
221	2100100073
222	2100100027
223	2100100081
224	2100100112
225	2100100100
226	2100100090
227	2100100108
228	2100100092
229	2100100104
230	2100100019
231	2100100033
232	2100100102
233	2100100110
234	2100100053
235	2100100025
236	2100100118
238	2100100029
239	2100100045
240	2100100077
241	2100100069
242	2100100106
243	2100100013
244	2100100065
245	2100100114
246	7100100075
247	7100100035
248	7100100041
249	7100100049
250	7100100059
251	7100100096
252	7100100083
253	7100100098
254	7100100015
255	7100100067
256	7100100017
257	7100100039
258	7100100061
259	7100100037
260	7100100071
261	7100100031
262	7100100079
263	7100100116
264	7100100057
265	7100100094
266	7100100120
267	7100100023
268	7100100051
269	7100100043
270	7100100055
271	7100100063
272	7100100021
273	7100100073
274	7100100027
275	7100100081
276	7100100112
277	7100100100
278	7100100090
279	7100100108
280	7100100092
281	7100100104
282	7100100019
283	7100100033
284	6100100081
285	6100100083
286	6100100048
287	6100100015
288	2100100066
289	2100100052
290	2100100036
291	2100100080
292	2100100060
293	2100100050
294	2100100040
295	2100100091
296	2100100117
297	2100100044
298	2100100042
299	2100100058
300	2100100109
301	2100100038
302	2100100062
303	2100100111
304	2100100074
305	2100100113
306	2100100076
307	2100100018
308	2100100105
309	2100100032
310	2100100093
311	2100100115
312	2100100068
313	2100100099
314	2100100028
315	2100100020
316	2100100070
317	2100100107
318	2100100016
319	2100100097
320	2100100119
321	2100100022
322	2100100082
323	2100100072
324	2100100087
325	2100100034
326	2100100095
327	2100100064
328	2100100014
329	2100100030
330	2100100012
331	2100100078
332	2100100054
333	2100100121
334	2100100024
335	2100100103
336	2100100026
337	2100100089
338	2100100101
339	2100100056
340	7100100066
341	7100100052
342	7100100036
343	7100100080
344	7100100060
345	7100100050
346	7100100040
347	7100100091
348	7100100117
349	7100100044
350	7100100042
351	7100100058
352	7100100109
353	7100100038
354	7100100062
355	7100100111
356	7100100074
357	7100100113
358	7100100076
359	7100100018
360	7100100105
361	7100100032
362	7100100093
363	7100100115
364	7100100068
365	7100100099
366	7100100028
367	7100100020
368	7100100070
369	7100100107
370	7100100016
371	7100100097
372	7100100119
373	7100100022
374	7100100082
375	7100100072
376	7100100087
377	7100100034
378	7100100095
379	7100100064
380	7100100102
381	7100100110
382	7100100053
383	7100100025
384	7100100118
386	7100100029
387	7100100045
388	7100100077
389	7100100069
390	7100100106
391	7100100013
392	7100100065
393	7100100114
394	4100100075
395	4100100035
398	4100100059
399	4100100096
400	4100100083
401	4100100098
403	4100100067
406	4100100061
408	4100100071
410	4100100079
411	4100100116
413	4100100094
414	4100100120
419	4100100063
421	4100100073
423	4100100081
424	4100100112
425	4100100100
426	4100100090
427	4100100108
428	4100100092
429	4100100104
432	4100100102
433	4100100110
436	4100100118
439	4100100045
440	4100100077
441	4100100069
442	4100100106
444	4100100065
445	4100100114
446	5100100075
447	5100100035
448	5100100041
449	5100100049
450	5100100059
451	5100100096
452	5100100083
453	5100100098
454	5100100015
455	5100100067
456	5100100017
457	5100100039
458	5100100061
459	5100100037
460	5100100071
461	5100100031
462	5100100079
463	5100100116
464	5100100057
465	5100100094
466	5100100120
